,0
653,super
654,premium
655,feeling
656,like
657,camera
658,quality
659,bokeh
660,effect
661,pathetic
662,even
663,full
664,day
665,light
666,low
667,light
668,photgraphy
669,night
670,upto
671,mark
672,except
673,camera
674,outstanding
675,phone
676,7
677,days
678,use
679,notification
680,big
681,problem
682,cant
683,even
684,turn
685,get
686,useless
687,notification
688,34
689,times
690,day
691,option
692,turn
693,samsung
694,justify
695,give
696,option
697,turn
698,voice
699,clarity
700,reproduced
701,well
702,even
703,slightly
704,noisy
705,environment
706,difficult
707,converse
708,without
709,asking
710,person
711,side
712,repeat
713,times
714,battery
715,last
716,even
717,day
718,battery
719,camera
720,effective
721,described
722,amazonboth
723,samsung
724,amazon
725,make
726,peoples
727,fool
728,phone
729,good
730,camera
731,good
732,buy
733,phone
734,plz
735,avoid
736,buying
737,1
738,might
739,hear
740,voice
741,clearly
742,might
743,hear
744,echoes
745,crackling
746,side
747,2
748,phone
749,heating
750,badly
751,suggestion
752,company
753,recall
754,phones
755,else
756,impact
757,entire
758,brand
759,users
760,facing
761,issues
762,mainly
763,call
764,basic
765,functionality
766,call
767,voice
768,working
769,keeping
770,waste
771,samsung
772,recall
773,phone
774,repay
775,money
776,repaying
777,money
778,users
779,impacts
780,entire
781,samsung
782,brand
783,users
784,never
785,buy
786,mobiles
787,amazon
788,mobile
789,gets
790,hot
791,playing
792,pubg
793,front
794,camera
795,good
796,pubg
797,works
798,properly
799,balanced
800,graphics
801,buy
802,play
803,pubg
804,waste
805,money
806,worst
807,phone
808,lifethere
809,nothing
810,like
811,everything
812,going
813,dislike
814,important
815,thing
816,dislike
817,1
818,battery
819,life
820,5
821,6
822,hours
823,2heating
824,problemyou
825,talk
826,continuously
827,3
828,screen
829,sound
830,worst
831,things
832,many
833,dislikes
834,time
835,explain
836,pros
837,camera
838,good
839,selfie
840,rear
841,cam
842,cons
843,fast
844,charging
845,help
846,fast
847,charging
848,takes
849,time
850,doesnt
851,look
852,like
853,fast
854,charging
855,much
856,heating
857,issues
858,spec
859,atleat
860,4500
861,mah
862,battery
863,would
864,required
865,yet
866,install
867,games
868,like
869,clash
870,royals
871,n
872,pubg
873,hope
874,updates
875,call
876,remote
877,person
878,speaks
879,whole
880,phone
881,vibrating
882,pathetic
883,experience
884,screen
885,sound
886,technology
887,bad
888,battery
889,mark
890,camera
891,bad
892,problem
893,incall
894,speaker
895,makes
896,buzzing
897,sound
898,volume
899,full
900,receiving
901,call
902,making
903,call
904,buy
905,phone
906,design
907,good
908,othr
909,upto
910,mark
911,camera
912,also
913,good
914,excellent
915,like
916,phone
917,one
918,thing
919,audio
920,jack
921,missing
922,may
923,revolution
924,typec
925,cable
926,super
927,slow
928,motion
929,camera
930,super
931,fingerprint
932,response
933,fast
934,light
935,never
936,buy
937,samsung
938,m40
939,speaker
940,bad
941,qualityno
942,clear
943,sound
944,someone
945,call
946,ustotally
947,west
948,monykoe
949,free
950,de
951,tabh
952,bhi
953,mat
954,lena
955,initial
956,review
957,phone
958,look
959,nice
960,lightweight
961,finger
962,sensors
963,fast
964,recognise
965,phone
966,working
967,smooth
968,fast
969,charging
970,good
971,cons
972,picture
973,quality
974,upto
975,mark
976,camera
977,crisp
978,looks
979,smudged
980,trend
981,android
982,phones
983,think
984,good
985,enough
986,wide
987,angle
988,works
989,nicely
990,works
991,indian
992,sim
993,big
994,drawback
995,may
996,others
997,update
998,review
999,use
1000,phone
1001,camera
1002,upto
1003,mark
1004,work
1005,ok
1006,g
1007,cam
1008,g
1009,cam
1010,work
1011,slow
1012,rest
1013,display
1014,feel
1015,phone
1016,nice
1017,processor
1018,also
1019,works
1020,fine
1021,screen
1022,speaker
1023,worst
1024,idea
1025,incorporated
1026,gonna
1027,horrible
1028,phone
1029,call
1030,experience
1031,buy
1032,poor
1033,quality
1034,mobileof
1035,samsung
1036,ever
1037,1
1038,sound
1039,quality
1040,poor
1041,2
1042,power
1043,button
1044,noisy
1045,3
1046,camera
1047,quality
1048,poor
1049,infact
1050,a20
1051,camera
1052,good
1053,4
1054,near
1055,punch
1056,hole
1057,display
1058,quality
1059,poorseems
1060,black
1061,black
1062,near
1063,punch
1064,hole
1065,5
1066,back
1067,panel
1068,design
1069,poor
1070,6
1071,premium
1072,quality
1073,mobile
1074,phone
1075,feelin
1076,big
1077,cost
1078,worst
1079,product
1080,samsung
1081,dont
1082,buy
1083,case
1084,got
1085,phone
1086,whose
1087,sim
1088,tray
1089,opening
1090,friends
1091,also
1092,ordered
1093,2
1094,3
1095,guys
1096,got
1097,defects
1098,serious
1099,advice
1100,dont
1101,go
1102,series
1103,sim
1104,tray
1105,opening
1106,without
1107,sim
1108,everything
1109,phone
1110,called
1111,screen
1112,speaker
1113,pathetic
1114,sound
1115,quality
1116,used
1117,much
1118,better
1119,earlier
1120,mobiles
1121,camera
1122,average
1123,might
1124,say
1125,price
1126,expect
1127,triple
1128,camera
1129,even
1130,single
1131,camera
1132,would
1133,given
1134,better
1135,results
1136,highly
1137,disappointing
1138,phone
1139,1
1140,voice
1141,quality
1142,2
1143,phone
1144,quality
1145,3
1146,network
1147,issues
1148,4
1149,toy
1150,phone
1151,5
1152,worst
1153,camera
1154,third
1155,class
1156,quality
1157,products
1158,poor
1159,camera
1160,headphone
1161,jack
1162,m40
1163,mobile
1164,awesome
1165,usee
1166,iphone
1167,6
1168,7
1169,moto
1170,g5s
1171,plus
1172,compare
1173,phone
1174,m40
1175,better
1176,look
1177,quality
1178,plastic
1179,uses
1180,phone
1181,good
1182,dual
1183,volte
1184,means
1185,use
1186,two
1187,jio
1188,sims
1189,time
1190,32mp
1191,camera
1192,decent
1193,selfie
1194,camera
1195,also
1196,good
1197,battery
1198,also
1199,perform
1200,good
1201,screen
1202,phone
1203,little
1204,wide
1205,needes
1206,ordered
1207,got
1208,seawater
1209,color
1210,whoc
1211,different
1212,color
1213,looks
1214,ao
1215,nice
1216,sceen
1217,working
